mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6c3b6baef921,1731997289.218967,(7160-1024j),(7267+1024j),(7152-8182j),(-7164-4087j),(-237+456j),(-83+460j),(63+419j),(154+309j),(195+166j),(211+26j),(203-108j),(197-242j),(186-369j),(174-482j),(161-590j),(146-661j),(136-724j),(130-764j),(116-766j),(106-745j),(92-697j),(50-612j),(-1-524j),(-70-415j),(-145-319j),(-238-212j),(-333-120j),(-429-23j),(-493+77j),(-524+169j),(-466+257j),(-248+268j),(-7232+512j),(-72-425j),(-285-558j),(-404-558j),(-452-481j),(-458-399j),(-429-286j),(-403-147j),(-378-3j),(-361+170j),(-333+333j),(-319+485j),(-313+618j),(-309+733j),(-309+733j),(-273+872j),(-252+894j),(-206+868j),(-160+827j),(-106+750j),(-20+657j),(57+545j),(137+407j),(224+250j),(282+83j),(308-119j),(262-313j),(130-430j),(10245+0j),(-10752-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731997290.048232,(7160-1024j),(7267+1024j),(7152-8182j),(-7164-4087j),(-401+247j),(-219+307j),(-49+272j),(53+151j),(59-3j),(-14-131j),(-138-221j),(-294-256j),(-446-240j),(-597-171j),(-715-42j),(-769+93j),(-780+237j),(-739+387j),(-648+496j),(-513+562j),(-350+568j),(-183+511j),(-41+408j),(60+257j),(132+81j),(140-125j),(89-302j),(-25-468j),(-181-539j),(-368-532j),(-497-367j),(-420-65j),(-7232+512j),(214-449j),(-16-696j),(-259-717j),(-418-558j),(-486-374j),(-447-159j),(-328+49j),(-147+204j),(95+299j),(341+301j),(584+232j),(775+93j),(912-107j),(962-338j),(890-573j),(765-757j),(560-865j),(318-911j),(73-860j),(-140-718j),(-300-500j),(-347-251j),(-291-3j),(-132+200j),(129+286j),(394+199j),(535-28j),(10245+0j),(-10496-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731997290.052634,(7160-1024j),(7267+1024j),(7152-8182j),(-7164-4087j),(446+42j),(348-108j),(202-193j),(57-150j),(-50-50j),(-118+86j),(-151+234j),(-148+379j),(-136+511j),(-99+627j),(-52+730j),(-8+801j),(41+837j),(96+835j),(147+811j),(190+743j),(220+637j),(222+506j),(215+350j),(191+185j),(157+8j),(100-168j),(39-333j),(-52-479j),(-148-565j),(-260-609j),(-372-514j),(-364-229j),(-7232+512j),(443-234j),(485-524j),(381-665j),(248-663j),(110-605j),(-17-479j),(-129-303j),(-230-110j),(-304+105j),(-357+315j),(-385+522j),(-380+705j),(-343+866j),(-260+997j),(-163+1066j),(-43+1089j),(58+1052j),(174+959j),(279+825j),(342+646j),(376+445j),(359+228j),(295+12j),(168-183j),(-39-333j),(-290-356j),(-484-225j),(10245+0j),(-10496-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731997290.092706,(7160-1024j),(7267+1024j),(7152-8182j),(-7164-4087j),(-388+297j),(-99+414j),(184+324j),(250+73j),(145-158j),(-73-275j),(-335-255j),(-539-126j),(-690+119j),(-723+408j),(-637+674j),(-444+932j),(-167+1046j),(129+1043j),(412+930j),(607+708j),(685+423j),(654+146j),(497-101j),(264-274j),(-23-328j),(-296-258j),(-540-72j),(-660+199j),(-631+502j),(-423+757j),(-58+797j),(261+463j),(-7232+512j),(-543+215j),(-476+692j),(-151+866j),(197+803j),(430+569j),(514+247j),(451-82j),(247-368j),(-53-527j),(-432-556j),(-765-415j),(-1021-151j),(-1135+201j),(-1073+568j),(-887+906j),(-560+1113j),(-171+1204j),(212+1073j),(501+823j),(662+472j),(643+113j),(477-212j),(149-408j),(-225-390j),(-531-121j),(-596+296j),(-318+633j),(10245+0j),(-10240-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731997290.093040,(7160-1024j),(7267+1024j),(7152-8182j),(-7164-4087j),(399-20j),(327-79j),(244-123j),(109-163j),(-41-151j),(-179-104j),(-303-40j),(-412+53j),(-510+113j),(-587+179j),(-652+254j),(-680+305j),(-692+347j),(-677+374j),(-638+392j),(-574+384j),(-484+369j),(-355+335j),(-222+303j),(-81+268j),(71+232j),(233+185j),(365+163j),(502+110j),(592+45j),(627-36j),(578-143j),(335-219j),(-7232+512j),(-9+442j),(184+586j),(309+578j),(367+476j),(378+356j),(362+207j),(341+36j),(302-129j),(259-311j),(204-468j),(154-622j),(104-747j),(52-842j),(-2-908j),(-74-923j),(-127-918j),(-188-858j),(-239-777j),(-284-652j),(-324-506j),(-359-327j),(-345-163j),(-316+29j),(-243+210j),(-110+376j),(81+484j),(226+495j),(10245+0j),(-10240-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731997290.093330,(7160-1024j),(7267+1024j),(7152-8182j),(-7164-4087j),(-243+192j),(-114+267j),(41+274j),(129+147j),(160-7j),(144-156j),(89-294j),(21-413j),(-73-512j),(-163-594j),(-253-640j),(-333-671j),(-399-666j),(-449-635j),(-478-577j),(-488-493j),(-465-381j),(-423-258j),(-360-125j),(-278+17j),(-193+152j),(-85+286j),(22+402j),(145+491j),(266+531j),(373+521j),(454+394j),(374+131j),(-7232+512j),(-332+287j),(-295+550j),(-172+631j),(-33+609j),(68+523j),(172+390j),(253+228j),(329+48j),(377-139j),(408-328j),(412-494j),(399-645j),(360-770j),(293-856j),(196-924j),(108-913j),(3-892j),(-104-805j),(-202-686j),(-283-528j),(-325-360j),(-344-166j),(-318+39j),(-236+230j),(-70+394j),(144+470j),(337+372j),(10245+0j),(-10240-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731997290.115663,(7160-1024j),(7267+1024j),(7152-8182j),(-7164-4087j),(-449+14j),(-359+101j),(-255+164j),(-102+206j),(62+199j),(205+149j),(347+86j),(464+31j),(554-63j),(643-139j),(695-200j),(748-258j),(763-306j),(744-337j),(704-356j),(628-357j),(522-349j),(400-341j),(256-325j),(95-307j),(-59-301j),(-210-280j),(-367-265j),(-505-234j),(-615-189j),(-678-111j),(-628+13j),(-390+151j),(-7232+512j),(102-442j),(-67-636j),(-201-648j),(-290-573j),(-336-454j),(-363-291j),(-363-129j),(-388+65j),(-389+238j),(-399+423j),(-394+588j),(-383+726j),(-357+826j),(-316+893j),(-254+950j),(-181+947j),(-106+915j),(-14+844j),(73+745j),(168+608j),(228+464j),(317+288j),(370+93j),(374-116j),(307-339j),(171-512j),(20-594j),(10245+0j),(-9984-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731997290.115913,(7160-1024j),(7267+1024j),(7152-8182j),(-7164-4087j),(-280-92j),(-298-12j),(-290+94j),(-146+175j),(13+208j),(170+195j),(317+155j),(449+104j),(564+35j),(663-36j),(726-97j),(774-155j),(789-212j),(771-256j),(725-289j),(641-308j),(544-319j),(414-330j),(265-317j),(107-311j),(-61-290j),(-223-278j),(-377-261j),(-514-218j),(-621-149j),(-673-60j),(-623+73j),(-366+191j),(-7232+512j),(46-459j),(-156-625j),(-303-610j),(-380-513j),(-416-373j),(-415-216j),(-394-40j),(-364+150j),(-327+332j),(-271+511j),(-211+668j),(-152+787j),(-86+885j),(-12+950j),(74+978j),(150+953j),(224+892j),(295+787j),(359+665j),(400+508j),(417+326j),(410+127j),(373-74j),(277-273j),(117-437j),(-99-530j),(-272-457j),(10245+0j),(-9984-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731997290.232682,(7160-1024j),(7267+1024j),(7152-8182j),(-7164-4087j),(4-327j),(-84-337j),(-187-305j),(-248-175j),(-248-39j),(-206+95j),(-141+208j),(-48+313j),(25+394j),(112+470j),(198+518j),(283+553j),(352+567j),(407+556j),(448+531j),(465+478j),(466+395j),(438+311j),(416+200j),(374+76j),(326-54j),(262-198j),(202-311j),(132-437j),(36-510j),(-76-565j),(-198-500j),(-246-266j),(-7232+512j),(422-88j),(537-326j),(496-479j),(401-533j),(275-550j),(143-503j),(-21-437j),(-160-361j),(-312-271j),(-452-160j),(-589-37j),(-703+67j),(-783+186j),(-842+289j),(-847+388j),(-816+478j),(-767+531j),(-664+586j),(-538+602j),(-388+595j),(-205+579j),(-60+497j),(118+402j),(275+250j),(385+45j),(399-189j),(293-324j),(10245+0j),(-10752-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731997290.236283,(7160-1024j),(7267+1024j),(7152-8182j),(-7164-4087j),(-336+206j),(-234+293j),(-109+339j),(4+298j),(101+223j),(177+132j),(248+30j),(302-50j),(351-156j),(398-245j),(438-320j),(479-379j),(492-419j),(505-445j),(503-453j),(471-447j),(425-422j),(353-401j),(263-367j),(155-343j),(43-321j),(-74-310j),(-203-308j),(-329-300j),(-426-279j),(-505-235j),(-506-130j),(-358+25j),(-7232+512j),(233-352j),(168-592j),(87-667j),(1-655j),(-51-597j),(-127-501j),(-187-392j),(-288-273j),(-378-143j),(-482-9j),(-578+101j),(-670+194j),(-744+284j),(-804+343j),(-828+415j),(-821+445j),(-797+471j),(-724+472j),(-639+484j),(-520+482j),(-402+459j),(-230+449j),(-52+414j),(129+347j),(307+223j),(437+56j),(438-126j),(10245+0j),(-10752-32640j),(128+0j),(1719-3250j)
